Subject,Video,G_s,G_i,Same_Gen,PA_2,FF,FM,MF,MM,PA_3,FFA,FMB,FMA,FFB,MFA,MMB,MMA,MFB,Total_Raw,Total_Scaled,Total_Perf,Recall_Raw,Recall_Scaled,Recall_Perf,Comp_Raw,Comp_Scaled,Comp_Perf,A_Raw,B_Raw,IFE_Raw,IFE_Scaled,StartDate,EndDate,IPAddress,Duration,LocLat,LocLong,b,c,d,e,f,1A,2A,3A,4A,5A,6A,7A,8A,1B,2B,3B,4B,5B,6B,7B,8B
1,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,5,6,75,11/10/19 10:18,11/10/19 10:29,98.228.64.223,628,41.70570374,-88.19460297,4,4,2,1,6,2,1,1,2,1,4,2,3,3,1,1,1,1,1,3,2
2,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,7,7.5,93.75,11/10/19 10:25,11/10/19 10:35,99.36.8.18,627,43.05029297,-88.04499817,2,1,1,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
3,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,7,7.5,93.75,11/10/19 10:37,11/10/19 10:48,73.93.153.137,659,37.75889587,-122.1853027,2,4,2,1,5,2,4,1,2,1,4,2,3,3,2,1,1,1,2,3,2
4,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,5,62.50 ,-19.83,3,60.00 ,-21.38,2,66.67 ,-17.24,5,5,5,62.5,11/10/19 10:52,11/10/19 11:03,136.24.18.244,694,37.76420593,-122.3992996,2,4,1,1,6,2,1,1,3,1,2,2,3,3,1,1,4,1,3,3,1
5,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,5,62.50 ,-19.83,4,80.00 ,-1.38,1,33.33 ,-50.58,5,6,5.5,68.75,11/10/19 10:53,11/10/19 11:06,27.4.35.218,760,19.07279968,72.88259888,3,4,3,2,5,2,1,1,2,1,1,2,2,3,2,1,1,1,1,3,2
6,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,8,8,100,11/10/19 11:11,11/10/19 11:21,71.105.216.106,604,40.85270691,-73.93830109,4,1,1,2,7,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
7,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,8,7.5,93.75,11/10/19 11:13,11/10/19 11:27,2.110.82.97,846,55.67860413,12.55889893,3,1,3,2,7,2,4,1,2,2,4,2,3,3,2,1,4,1,2,3,2
8,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,6,6.5,81.25,11/10/19 11:27,11/10/19 11:37,208.118.126.250,589,50.91569519,-113.8919983,5,1,1,1,6,2,4,1,3,1,4,2,3,3,1,1,4,1,1,3,2
9,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,8,7.5,93.75,11/10/19 11:40,11/10/19 11:49,68.49.194.24,537,42.2440033,-83.58229828,3,1,1,1,6,2,2,1,2,1,4,2,3,3,2,1,4,1,2,3,2
10,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,6,6,6,75,11/10/19 11:42,11/10/19 11:55,108.211.202.152,778,42.28070068,-83.78009796,5,1,1,2,5,2,1,1,2,1,4,2,3,3,2,1,1,1,2,3,2
